,text,sentiment,country,neg,neu,pos,compound
0,"  Update to Pfizer and Oxford side effects, Reports: 22 Feb Pfizer:  Reactions:  77,207    Blindness:  9    Deaths: 197O…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Canada,0.0,1.0,0.0,0.0
1,"  Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tennessee,…","{'neg': 0.176, 'neu': 0.824, 'pos': 0.0, 'compound': -0.4939}",USA,0.17600000000000002,0.8240000000000001,0.0,-0.4939
2,"  Update to Pfizer and Oxford side effects, Reports: 22 Feb Pfizer:  Reactions:  77,207    Blindness:  9    Deaths: 197O…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",UK,0.0,1.0,0.0,0.0
3,"  If you are over 60, extremely vulnerable, or are a health/care worker and haven’t been contacted for a coronavirus vacc…","{'neg': 0.114, 'neu': 0.886, 'pos': 0.0, 'compound': -0.2944}",UK,0.114,0.8859999999999999,0.0,-0.2944
4,"  Even if you've had the #Covid19 vaccine, it's important to continue to follow social distancing guidance, wash your hands…","{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.2023}",UK,0.0,0.909,0.091,0.2023
5,  Fauci warns against complacency as COVID-19 cases begin to plateau despite vaccine ,"{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.1027}",USA,0.113,0.887,0.0,-0.1027
6,"  In the Sunday COVID-19 report, 288 positive cases have been added since Saturday. Gov. Hutchinson said the total number of new c…","{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.5994}",USA,0.0,0.8029999999999999,0.19699999999999998,0.5994
7,"  Update to Pfizer and Oxford side effects, Reports: 22 Feb Pfizer:  Reactions:  77,207    Blindness:  9    Deaths: 197O…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",UK,0.0,1.0,0.0,0.0
8,  Fauci warns against complacency as COVID-19 cases begin to plateau despite vaccine ,"{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.1027}",Canada,0.113,0.887,0.0,-0.1027
10,  The Pan American Health Organization (PAHO) says work is advanced on the development of a coronavirus (COVID-19) vaccine i…,"{'neg': 0.0, 'neu': 0.895, 'pos': 0.105, 'compound': 0.25}",Jamaica,0.0,0.895,0.105,0.25
11,  Fauci warns against complacency as COVID-19 cases begin to plateau despite vaccine ,"{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.1027}",USA,0.113,0.887,0.0,-0.1027
12,"As Connecticut prepares for its first shipment of the new Johnson &amp; Johnson COVID-19 vaccine, health officials say… ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA,0.0,1.0,0.0,0.0
13,Thousands of Utahns' illegitimate COVID-19 vaccine appointments being canceled after system error -… ,"{'neg': 0.184, 'neu': 0.816, 'pos': 0.0, 'compound': -0.4019}",South Africa,0.184,0.816,0.0,-0.4019
14,"In the Sunday COVID-19 report, 288 positive cases have been added since Saturday. Gov. Hutchinson said the total nu… ","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.5574}",USA,0.0,0.833,0.16699999999999998,0.5574
15,"  Update to Pfizer and Oxford side effects, Reports: 22 Feb Pfizer:  Reactions:  77,207    Blindness:  9    Deaths: 197O…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",UK,0.0,1.0,0.0,0.0
16,More confusing directions to get a COVID Vaccination from Florida Gov DeSantis. What is extremely vulnerable condit… ,"{'neg': 0.239, 'neu': 0.761, 'pos': 0.0, 'compound': -0.5245}",USA,0.239,0.7609999999999999,0.0,-0.5245
